,0
2010-11-15,988233
2010-11-16,989579
2010-11-17,990614
2010-11-18,987905
2010-11-19,987905
2010-11-20,980791
2010-11-21,981954
2010-11-22,980819
2010-11-23,983563
2010-11-24,985146
2010-11-25,988925
2010-11-26,988925
2010-11-27,988499
2010-11-28,988499
2010-11-29,984232
2010-11-30,985131
2010-12-01,983650
2010-12-02,982869
2010-12-03,982862
2010-12-04,983348
2010-12-05,983348
2010-12-06,985384
2010-12-07,984516
2010-12-08,984056
2010-12-09,984711
2010-12-10,983988
2010-12-11,985010
2010-12-12,985010
2010-12-13,980903
2010-12-14,980903
2010-12-15,979423
2010-12-16,981594
2010-12-17,983373
2010-12-18,983018
2010-12-19,983500
2010-12-20,984686
2010-12-21,984686
2010-12-22,985753
2010-12-23,984692
2010-12-24,983596
2010-12-25,984238
2010-12-26,982902
2010-12-27,986448
2010-12-28,986448
2010-12-29,982636
2010-12-30,982636
2010-12-31,986337
2011-01-01,986886
2011-01-02,991491
2011-01-03,992089
2011-01-04,992225
2011-01-05,991847
2011-01-06,989528
2011-01-07,988720
2011-01-08,981713
2011-01-09,980407
2011-01-10,982626
2011-01-11,981408
2011-01-12,984266
2011-01-13,984266
2011-01-14,982997
2011-01-15,982997
2011-01-16,982429
2011-01-17,984995
2011-01-18,985298
2011-01-19,986865
2011-01-20,987851
2011-01-21,989498
2011-01-22,989498
2011-01-23,989033
2011-01-24,988193
2011-01-25,986997
2011-01-26,988706
2011-01-27,989591
2011-01-28,987129
2011-01-29,987129
2011-01-30,985807
2011-01-31,985807
2011-02-01,987333
2011-02-02,988359
2011-02-03,987694
2011-02-04,988418
2011-02-05,990119
2011-02-06,986688
2011-02-07,986688
2011-02-08,983695
2011-02-09,983782
2011-02-10,984327
2011-02-11,987068
2011-02-12,986750
2011-02-13,989625
2011-02-14,989625
2011-02-15,984711
2011-02-16,984711
2011-02-17,979819
2011-02-18,980162
2011-02-19,979284
2011-02-20,980845
2011-02-21,982535
2011-02-22,983647
2011-02-23,983647
2011-02-24,982525
2011-02-25,981642
2011-02-26,981481
2011-02-27,982753
2011-02-28,983939
2011-03-01,985774
2011-03-02,985774
2011-03-03,986649
2011-03-04,986649
2011-03-05,985493
2011-03-06,985582
2011-03-07,984694
