,0
2010-11-17,996365
2010-11-18,997953
2010-11-19,997953
2010-11-20,998198
2010-11-21,999493
2010-11-22,998949
2010-11-23,1000000
2010-11-24,999673
2010-11-25,997459
2010-11-26,997459
2010-11-27,996179
2010-11-28,996179
2010-11-29,997050
2010-11-30,998360
2010-12-01,998579
2010-12-02,997958
2010-12-03,997775
2010-12-04,993780
2010-12-05,993780
2010-12-06,994322
2010-12-07,996962
2010-12-08,999451
2010-12-09,999269
2010-12-10,999598
2010-12-11,998754
2010-12-12,998754
2010-12-13,998532
2010-12-14,998532
2010-12-15,998089
2010-12-16,999340
2010-12-17,999047
2010-12-18,999085
2010-12-19,999197
2010-12-20,997666
2010-12-21,997666
2010-12-22,995117
2010-12-23,996638
2010-12-24,996777
2010-12-25,996041
2010-12-26,995964
2010-12-27,996954
2010-12-28,996954
2010-12-29,998123
2010-12-30,998123
2010-12-31,993687
2011-01-01,996438
2011-01-02,997030
2011-01-03,997931
2011-01-04,997778
2011-01-05,995619
2011-01-06,994202
2011-01-07,994670
2011-01-08,995382
2011-01-09,997528
2011-01-10,997455
2011-01-11,996870
2011-01-12,997236
2011-01-13,997236
2011-01-14,998522
2011-01-15,998522
2011-01-16,999705
2011-01-17,1000626
2011-01-18,1000000
2011-01-19,998160
2011-01-20,996208
2011-01-21,995690
2011-01-22,995690
2011-01-23,996912
2011-01-24,997683
2011-01-25,997466
2011-01-26,997396
2011-01-27,996704
2011-01-28,994728
2011-01-29,994728
2011-01-30,995815
2011-01-31,995815
2011-02-01,998143
2011-02-02,997426
2011-02-03,996680
2011-02-04,996419
2011-02-05,995770
2011-02-06,996777
2011-02-07,996777
2011-02-08,997349
2011-02-09,997315
2011-02-10,996770
2011-02-11,997612
2011-02-12,997138
2011-02-13,995585
2011-02-14,995585
2011-02-15,994458
2011-02-16,994458
2011-02-17,999628
2011-02-18,997483
2011-02-19,998076
2011-02-20,997237
2011-02-21,995120
2011-02-22,993305
2011-02-23,993305
2011-02-24,993002
2011-02-25,992268
2011-02-26,993582
2011-02-27,994642
2011-02-28,995148
2011-03-01,994118
2011-03-02,994118
2011-03-03,993050
2011-03-04,993050
2011-03-05,996483
2011-03-06,995837
2011-03-07,996615
2011-03-08,995714
2011-03-09,992765
2011-03-10,993868
2011-03-11,993868
2011-03-12,993366
2011-03-13,993387
2011-03-14,993045
2011-03-15,993735
2011-03-16,993120
2011-03-17,994031
2011-03-18,994031
2011-03-19,993122
2011-03-20,993122
2011-03-21,997718
2011-03-22,995220
2011-03-23,996560
2011-03-24,994815
2011-03-25,990787
2011-03-26,991293
2011-03-27,991293
2011-03-28,994829
2011-03-29,993055
2011-03-30,992122
2011-03-31,994639
2011-04-01,992747
2011-04-02,996987
2011-04-03,996987
2011-04-04,993873
2011-04-05,993873
2011-04-06,995714
2011-04-07,996299
2011-04-08,998125
2011-04-09,998233
2011-04-10,996920
2011-04-11,994824
2011-04-12,994824
2011-04-13,990819
2011-04-14,992398
2011-04-15,992681
2011-04-16,992221
2011-04-17,991533
2011-04-18,992672
2011-04-19,992672
2011-04-20,994228
2011-04-21,994228
2011-04-22,995116
2011-04-23,995218
2011-04-24,995923
2011-04-25,996319
2011-04-26,994898
2011-04-28,995731
2011-04-29,996079
2011-05-01,994208
2011-05-02,993311
2011-05-03,992093
2011-05-04,992508
2011-05-05,992508
2011-05-06,993261
2011-05-07,993261
2011-05-08,995963
2011-05-10,995833
2011-05-12,990804
2011-05-13,991759
2011-05-15,995383
2011-05-16,996856
2011-05-17,995102
2011-05-18,996363
2011-05-20,992149
2011-05-21,992149
2011-05-22,991523
2011-05-23,991523
2011-05-24,997263
2011-05-25,995518
2011-05-26,995270
2011-05-27,993969
2011-05-29,989511
2011-05-30,989511
2011-05-31,992790
2011-06-01,986544
2011-06-02,984377
2011-06-03,983590
2011-06-04,975132
2011-06-05,981847
2011-06-06,981847
2011-06-08,992066
2011-06-09,995745
2011-06-10,996645
2011-06-11,997603
2011-06-12,997394
2011-06-14,992817
2011-06-15,992817
2011-06-16,995732
2011-06-17,992945
2011-06-19,990297
2011-06-21,974014
2011-06-22,974014
2011-06-23,973956
2011-06-24,973956
2011-06-25,1000605
2011-06-26,998928
2011-06-29,985073
2011-06-30,989202
2011-07-01,989202
2011-07-02,994734
2011-07-03,994774
2011-07-05,992382
2011-07-06,994429
2011-07-07,991446
2011-07-08,991446
2011-07-10,992001
2011-07-11,999253
2011-07-13,993702
2011-07-14,987294
2011-07-15,981179
2011-07-16,979949
2011-07-17,979949
2011-07-19,993261
2011-07-20,996956
2011-07-21,996681
2011-07-22,998554
2011-07-23,993870
2011-07-24,993870
2011-07-25,997682
2011-07-26,997682
2011-07-27,995323
2011-07-28,994220
2011-07-31,992212
2011-08-01,992733
2011-08-04,994594
2011-08-05,996433
2011-08-07,995595
2011-08-08,990627
2011-08-09,990627
2011-08-10,991762
2011-08-11,991762
2011-08-12,940433
2011-08-13,960056
2011-08-14,939887
2011-08-16,996182
2011-08-17,990084
2011-08-19,989818
2011-08-20,994560
2011-08-21,996841
2011-08-22,998523
2011-08-23,997839
2011-08-24,996851
2011-08-25,996851
2011-08-26,994986
2011-08-27,994986
2011-08-28,995263
2011-08-29,996023
2011-08-30,995782
