date,value
3/12/2003,984821
3/13/2003,984167
3/14/2003,984918
3/15/2003,985455
3/16/2003,986802
3/17/2003,987133
3/18/2003,988761
3/19/2003,988761
3/20/2003,990867
3/21/2003,990059
3/22/2003,991547
3/23/2003,990239
3/24/2003,989520
3/25/2003,990303
3/26/2003,989115
3/27/2003,992506
3/28/2003,992506
3/29/2003,991350
3/30/2003,989734
3/31/2003,987056
4/1/2003,986963
4/2/2003,986206
4/3/2003,985859
4/4/2003,985859
4/5/2003,986147
4/6/2003,985866
4/7/2003,987907
4/8/2003,987638
4/9/2003,987795
4/10/2003,988469
4/11/2003,988302
4/12/2003,991500
4/13/2003,991500
4/14/2003,992313
4/15/2003,991793
4/16/2003,990984
4/17/2003,988177
4/18/2003,985958
4/19/2003,983104
4/20/2003,983104
4/21/2003,989112
4/22/2003,987868
4/23/2003,988170
4/24/2003,987656
4/25/2003,985884
4/26/2003,986582
4/27/2003,986205
4/28/2003,988310
4/29/2003,988310
4/30/2003,988112
5/1/2003,987520
5/2/2003,986409
5/3/2003,989293
5/5/2003,990212
5/6/2003,990212
5/7/2003,990164
5/8/2003,989164
5/9/2003,990500
5/10/2003,988928
5/11/2003,987241
5/12/2003,987498
5/13/2003,986512
5/14/2003,987005
5/15/2003,987005
5/16/2003,988319
5/17/2003,988498
5/18/2003,989191
5/19/2003,988957
5/20/2003,988620
5/21/2003,985363
5/22/2003,985363
5/23/2003,984006
5/24/2003,982602
5/25/2003,985275
5/26/2003,984451
5/27/2003,983558
5/28/2003,985154
5/29/2003,983662
5/30/2003,988093
5/31/2003,988093
6/1/2003,987146
6/2/2003,987038
6/3/2003,984931
6/4/2003,983021
6/5/2003,981753
6/6/2003,988207
6/7/2003,988207
6/8/2003,965756
6/9/2003,978081
6/10/2003,979750
6/11/2003,983487
6/12/2003,991487
6/13/2003,984683
6/14/2003,983997
6/15/2003,990875
6/16/2003,990875
6/17/2003,990590
6/18/2003,990590
6/19/2003,986435
6/20/2003,982802
6/21/2003,980335
6/22/2003,982256
6/23/2003,982256
6/24/2003,981311
6/25/2003,953432
6/26/2003,941318
6/27/2003,949073
6/28/2003,935866
6/29/2003,949053
6/30/2003,947836
7/1/2003,950182
7/2/2003,950182
7/3/2003,973180
7/4/2003,976410
7/5/2003,978761
7/6/2003,976633
7/7/2003,977097
7/8/2003,962753
7/9/2003,962753
7/10/2003,965277
7/11/2003,966040
7/12/2003,974268
7/13/2003,975219
7/14/2003,975667
7/15/2003,970447
7/16/2003,968194
7/17/2003,966237
7/18/2003,966237
7/19/2003,973007
7/20/2003,973904
7/21/2003,974624
7/22/2003,974603
7/23/2003,973114
7/24/2003,967363
7/25/2003,967363
7/26/2003,971628
7/27/2003,972466
7/28/2003,966242
7/29/2003,967211
7/30/2003,962144
7/31/2003,951982
8/1/2003,955950
8/2/2003,951282
8/3/2003,951282
8/4/2003,962093
8/5/2003,959889
8/6/2003,955685
8/7/2003,963303
8/8/2003,965426
8/9/2003,963962
8/10/2003,963962
8/11/2003,936183
8/12/2003,930259
8/13/2003,930832
8/14/2003,932024
8/15/2003,936225
8/16/2003,955654
8/17/2003,955204
8/18/2003,971995
8/19/2003,971995
8/20/2003,958879
8/21/2003,952140
8/22/2003,944344
8/23/2003,944839
8/24/2003,941424
8/25/2003,934452
8/26/2003,934452
8/27/2003,937197
8/28/2003,939629
8/29/2003,945308
8/30/2003,947026
8/31/2003,944967
9/1/2003,947478
9/2/2003,949365
9/3/2003,960735
9/4/2003,960735
9/5/2003,970236
9/6/2003,966120
9/7/2003,961829
9/8/2003,957260
9/9/2003,950609
9/10/2003,959474
9/11/2003,959474
9/12/2003,968440
9/13/2003,959733
9/14/2003,957527
9/15/2003,954685
9/16/2003,950646
9/17/2003,956225
9/18/2003,951594
9/19/2003,955637
9/20/2003,955637
9/21/2003,956340
9/22/2003,964715
9/23/2003,969208
9/24/2003,955843
9/25/2003,953512
9/26/2003,941279
9/27/2003,941279
9/28/2003,959173
9/29/2003,955997
9/30/2003,953589
10/1/2003,954348
10/2/2003,950868
10/3/2003,959878
10/4/2003,964497
10/5/2003,969706
10/6/2003,969706
10/7/2003,967354
10/8/2003,967719
10/9/2003,967200
10/10/2003,968598
10/11/2003,967887
10/12/2003,973974
10/13/2003,973974
10/14/2003,970104
10/15/2003,964985
10/16/2003,959746
10/17/2003,959065
10/18/2003,958138
10/19/2003,961310
10/20/2003,960601
10/21/2003,965098
10/22/2003,965098
10/23/2003,963063
10/24/2003,962813
10/25/2003,960531
10/26/2003,958864
