,0
2010-11-16,998023
2010-11-17,996008
2010-11-18,997308
2010-11-19,997308
2010-11-20,997116
2010-11-21,997505
2010-11-22,996523
2010-11-23,998259
2010-11-24,998149
2010-11-25,999636
2010-11-26,999636
2010-11-27,999417
2010-11-28,999417
2010-11-29,998689
2010-11-30,998287
2010-12-01,996833
2010-12-02,998105
2010-12-03,997558
2010-12-04,999012
2010-12-05,999012
2010-12-06,998754
2010-12-07,998828
2010-12-08,998976
2010-12-09,999012
2010-12-10,998063
2010-12-11,997142
2010-12-12,997142
2010-12-13,997577
2010-12-14,997577
2010-12-15,998824
2010-12-16,998826
2010-12-17,998388
2010-12-18,998902
2010-12-19,998540
2010-12-20,999708
2010-12-21,999708
2010-12-22,999125
2010-12-23,999086
2010-12-24,998535
2010-12-25,997435
2010-12-26,996002
2010-12-27,997136
2010-12-28,997136
2010-12-29,998382
2010-12-30,998382
2010-12-31,997429
2011-01-01,998053
2011-01-02,997799
2011-01-03,999456
2011-01-04,1000000
2011-01-05,1000179
2011-01-06,1000000
2011-01-07,999311
2011-01-08,998486
2011-01-09,997972
2011-01-10,997273
2011-01-11,996137
2011-01-12,995948
2011-01-13,995948
2011-01-14,995571
2011-01-15,995571
2011-01-16,996021
2011-01-17,998083
2011-01-18,998015
2011-01-19,998528
2011-01-20,998711
2011-01-21,998452
2011-01-22,998452
2011-01-23,998015
2011-01-24,998529
2011-01-25,998384
2011-01-26,997800
2011-01-27,997215
2011-01-28,995455
2011-01-29,995455
2011-01-30,996143
2011-01-31,996143
2011-02-01,998325
2011-02-02,998549
2011-02-03,998700
2011-02-04,996815
2011-02-05,995982
2011-02-06,994499
2011-02-07,994499
2011-02-08,996355
2011-02-09,996873
2011-02-10,997540
2011-02-11,999632
2011-02-12,1000146
2011-02-13,1000000
2011-02-14,1000000
2011-02-15,997892
2011-02-16,997892
2011-02-17,998478
2011-02-18,997890
2011-02-19,998631
2011-02-20,997458
2011-02-21,996624
2011-02-22,997292
2011-02-23,997292
2011-02-24,997802
2011-02-25,997618
2011-02-26,997433
2011-02-27,996807
2011-02-28,997537
2011-03-01,994596
2011-03-02,994596
2011-03-03,995733
2011-03-04,995733
2011-03-05,996739
2011-03-06,998137
2011-03-07,997817
2011-03-08,997748
2011-03-09,998912
2011-03-10,998556
2011-03-11,998556
2011-03-12,999639
2011-03-13,999674
2011-03-14,1000072
2011-03-15,999348
2011-03-16,997320
2011-03-17,996202
2011-03-18,996202
2011-03-19,997826
2011-03-20,997826
2011-03-21,998552
2011-03-22,998406
2011-03-23,998334
2011-03-24,996919
2011-03-25,995757
2011-03-26,994413
2011-03-27,994413
2011-03-28,994370
2011-03-29,998236
2011-03-30,998531
2011-03-31,999285
2011-04-01,999786
2011-04-02,998134
2011-04-03,998134
2011-04-04,997849
2011-04-05,997849
2011-04-06,998024
2011-04-07,998730
2011-04-08,997514
2011-04-09,997585
2011-04-10,998029
2011-04-11,997104
2011-04-12,997104
2011-04-13,997137
2011-04-14,998197
2011-04-15,998097
2011-04-16,998029
2011-04-17,999500
2011-04-18,999500
2011-04-19,999500
2011-04-20,999750
2011-04-21,999750
2011-04-22,998681
2011-04-23,998572
2011-04-24,999105
2011-04-25,998746
2011-04-26,996637
2011-04-28,998568
2011-04-29,996327
2011-05-01,998210
2011-05-02,997781
2011-05-03,997745
2011-05-04,998394
2011-05-05,998394
2011-05-06,998226
2011-05-07,998226
2011-05-08,997450
2011-05-10,998303
2011-05-12,998053
2011-05-13,996801
2011-05-15,990373
2011-05-16,992632
2011-05-17,991204
2011-05-18,992998
2011-05-20,991364
2011-05-21,991364
2011-05-22,990917
2011-05-23,990917
2011-05-24,995273
2011-05-25,994597
2011-05-26,993921
2011-05-27,994005
2011-05-29,994264
2011-05-30,994264
2011-05-31,997261
2011-06-01,994115
2011-06-02,993272
2011-06-03,996154
2011-06-04,993504
2011-06-05,999538
2011-06-06,999538
2011-06-08,997344
2011-06-09,997696
2011-06-10,1000392
2011-06-11,1000000
2011-06-12,1001356
2011-06-14,932581
2011-06-15,932581
2011-06-16,935255
2011-06-17,958744
2011-06-19,996286
2011-06-21,990021
2011-06-22,990021
2011-06-23,992148
2011-06-24,992148
2011-06-25,996718
2011-06-26,993108
2011-06-29,987817
2011-06-30,995360
2011-07-01,995360
2011-07-02,997285
2011-07-03,998713
2011-07-05,998350
2011-07-06,999174
2011-07-07,997841
2011-07-08,997841
2011-07-10,997682
2011-07-11,999359
2011-07-13,996863
2011-07-14,995466
2011-07-15,991411
2011-07-16,994265
2011-07-17,994265
2011-07-19,998925
2011-07-20,999177
2011-07-21,999206
2011-07-22,998482
2011-07-23,995678
2011-07-24,995678
2011-07-25,994432
2011-07-26,994432
2011-07-27,992141
2011-07-28,992388
2011-07-31,994329
2011-08-01,996064
2011-08-04,998818
2011-08-05,999821
2011-08-07,998104
2011-08-08,997290
2011-08-09,997290
2011-08-10,996865
2011-08-11,996865
2011-08-12,983749
2011-08-13,990008
2011-08-14,985546
2011-08-16,998857
2011-08-17,996832
2011-08-19,995554
2011-08-20,997292
2011-08-21,993903
2011-08-22,994711
2011-08-23,995429
2011-08-24,995480
2011-08-25,995480
2011-08-26,996755
2011-08-27,996755
2011-08-28,996808
2011-08-29,998460
2011-08-30,998356
2011-09-01,997781
2011-09-02,996797
2011-09-03,996797
2011-09-05,997287
2011-09-06,996911
2011-09-08,995378
2011-09-09,993648
2011-09-11,995147
2011-09-12,995147
2011-09-13,959848
2011-09-15,958197
2011-09-16,970801
2011-09-17,993288
2011-09-18,992890
2011-09-21,993613
2011-09-23,993473
2011-09-24,991300
2011-09-25,985903
2011-09-26,985903
2011-09-27,991717
2011-09-28,991717
2011-09-29,996737
2011-09-30,996572
2013-04-01,989733
2013-04-02,989410
2013-04-03,990087
2013-04-04,989995
2013-04-05,990928
2013-04-06,991401
2013-04-07,993131
2013-04-08,993369
2013-04-09,993842
2013-04-10,994058
2013-04-11,992670
2013-04-12,993768
2013-04-13,992169
2013-04-14,992610
2013-04-15,991820
2013-04-16,991950
2013-04-17,991825
2013-04-18,991609
2013-04-19,992466
2013-04-20,991243
2013-04-21,992355
2013-04-22,991619
2013-04-23,991350
2013-04-24,991834
2013-04-25,991728
2013-04-26,991460
2013-04-27,991398
2013-04-28,992234
2013-04-29,991562
2013-04-30,992759
2013-05-01,992091
2013-05-02,991670
2013-05-03,991700
2013-05-04,991567
2013-05-05,992615
2013-05-06,990608
2013-05-07,991487
2013-05-08,990683
2013-05-09,989872
2013-05-10,991295
2013-05-11,990580
2013-05-12,990986
2013-05-13,991945
2013-05-14,-32000
2013-05-15,990076
2013-05-16,992237
2013-05-17,991904
2013-05-18,992924
2013-05-19,993719
2013-05-20,993790
2013-05-21,994774
2013-05-22,994042
2013-05-23,994605
2013-05-24,994853
2013-05-25,994999
2013-05-26,995337
2013-05-27,995347
2013-05-28,994062
2013-05-29,993617
2013-05-30,993628
2013-05-31,983529
2013-06-01,982245
2013-06-02,980868
2013-06-03,980859
2013-06-04,989544
2013-06-05,990762
2013-06-06,992375
2013-06-07,991458
2013-06-08,991106
2013-06-09,988291
2013-06-10,988252
2013-06-11,988031
2013-06-12,987531
2013-06-13,992000
2013-06-14,991939
2013-06-15,993502
2013-06-16,994969
2013-06-17,995678
2013-06-18,994826
2013-06-19,993702
2013-06-20,992650
2013-06-21,991359
2013-06-22,991923
2013-06-23,990543
2013-06-24,993212
2013-06-25,993314
2013-06-26,994227
2013-06-27,995769
2013-06-28,997081
2013-06-29,990493
2013-06-30,987030
2013-07-01,986038
2013-07-02,979721
2013-07-03,985816
2013-07-04,984350
2013-07-05,985606
2013-07-06,987941
2013-07-07,983055
2013-07-08,986021
2013-07-09,985384
2013-07-10,985262
2013-07-11,988373
2013-07-12,989716
2013-07-13,988041
2013-07-14,989231
2013-07-15,991605
2013-07-16,990567
2013-07-17,993068
2013-07-18,992211
2013-07-19,992496
2013-07-20,985590
2013-07-21,984383
2013-07-22,982950
2013-07-23,979576
2013-07-24,986275
2013-07-25,986610
2013-07-26,989501
2013-07-27,990677
2013-07-28,988340
2013-07-29,987821
2013-07-30,987229
2013-07-31,988540
2013-08-01,991519
2013-08-02,992545
2013-08-03,993904
2013-08-04,995248
2013-08-05,995084
2013-08-06,995148
2013-08-07,993956
2013-08-08,992769
2013-08-09,993918
2013-08-10,994548
2013-08-11,995539
2013-08-12,994900
2013-08-13,994055
2013-08-14,994021
2013-08-15,993052
2013-08-16,993137
2013-08-17,992036
2013-08-18,991650
2013-08-19,991502
2013-08-20,992845
2013-08-21,994296
2013-08-22,993147
2013-08-23,993088
2013-08-24,989372
2013-08-25,989302
2013-08-26,982270
2013-08-27,982701
2013-08-28,984237
2013-08-29,983358
2013-08-30,991131
2013-08-31,990101
2013-09-01,990598
2013-09-02,991231
2013-09-03,990444
2013-09-04,987381
2013-09-05,987058
2013-09-06,985776
2013-09-07,985797
2013-09-08,989392
2013-09-09,990576
2013-09-10,989821
2013-09-11,991254
2013-09-12,990980
2013-09-13,980961
2013-09-14,982952
2013-09-15,974427
2013-09-16,969939
2013-09-17,980529
2013-09-18,980392
2013-09-19,988632
2013-09-20,993286
2013-09-21,992349
2013-09-22,992861
2013-09-23,992583
2013-09-24,993272
2013-09-25,992885
2013-09-26,992330
2013-09-27,992294
2013-09-28,990590
2013-09-29,990875
2013-09-30,990761
2013-10-01,990798
2013-10-02,991792
2013-10-03,992520
2013-10-04,992157
2013-10-05,992637
2013-10-06,992730
2013-10-07,991923
2013-10-08,991990
2013-10-09,991212
2013-10-10,990960
2013-10-11,990746
2013-10-12,991844
2013-10-13,991379
2013-10-14,991368
2013-10-15,991301
2013-10-16,990855
2013-10-17,992762
2013-10-18,993329
2013-10-19,993653
2013-10-20,993916
2013-10-21,993600
2013-10-22,992859
2013-10-23,993319
2013-10-24,992788
2013-10-25,992463
2013-10-26,992869
2013-10-27,992713
2013-10-28,993874
2013-10-29,993610
2013-10-30,994846
2013-10-31,994134
2013-11-01,993790
2013-11-02,993190
2013-11-03,993452
2013-11-04,994563
2013-11-05,994074
2013-11-06,995174
2013-11-07,993346
