date,value
3/12/2003,985179
3/13/2003,983246
3/14/2003,984049
3/15/2003,982479
3/16/2003,982098
3/17/2003,983121
3/18/2003,983679
3/19/2003,982541
3/20/2003,983205
3/21/2003,983205
3/22/2003,983744
3/23/2003,980960
3/24/2003,980629
3/25/2003,981053
3/26/2003,978560
3/27/2003,982495
3/28/2003,982495
3/29/2003,981173
3/30/2003,981274
3/31/2003,981581
4/1/2003,982666
4/2/2003,983545
4/3/2003,985069
4/4/2003,985006
4/5/2003,984563
4/6/2003,984563
4/7/2003,982167
4/8/2003,982313
4/9/2003,982565
4/10/2003,982945
4/11/2003,982795
4/12/2003,982037
4/13/2003,982037
4/14/2003,980809
4/15/2003,980602
4/16/2003,982697
4/17/2003,981185
4/18/2003,980776
4/19/2003,981997
4/20/2003,979821
4/21/2003,989481
4/22/2003,989481
4/23/2003,987860
4/24/2003,988379
4/25/2003,984566
4/26/2003,983631
4/27/2003,984096
4/28/2003,981265
4/29/2003,981265
4/30/2003,981114
5/1/2003,981188
5/2/2003,981878
5/3/2003,982095
5/5/2003,985271
5/6/2003,982434
5/7/2003,985612
5/8/2003,985612
5/9/2003,983971
5/10/2003,983018
5/11/2003,983122
5/12/2003,985671
5/13/2003,985557
5/14/2003,987269
5/15/2003,987269
5/16/2003,984620
5/17/2003,985537
5/18/2003,986735
5/19/2003,987999
5/20/2003,987915
5/21/2003,987035
5/22/2003,985229
5/23/2003,979150
5/24/2003,979150
5/25/2003,977798
5/26/2003,980434
5/27/2003,981804
5/28/2003,979305
5/29/2003,980353
5/30/2003,982520
5/31/2003,982520
6/1/2003,995197
6/2/2003,993478
6/3/2003,993414
6/4/2003,991949
6/5/2003,986932
6/6/2003,966840
6/7/2003,956298
6/8/2003,944398
6/9/2003,944398
6/10/2003,971308
6/11/2003,970262
6/12/2003,970183
6/13/2003,971100
6/14/2003,968758
6/15/2003,969384
6/16/2003,969384
6/17/2003,963388
6/18/2003,963388
6/19/2003,957093
6/20/2003,957415
6/21/2003,957603
6/22/2003,960557
6/23/2003,960557
6/24/2003,968026
6/25/2003,968026
6/26/2003,972637
6/27/2003,970606
6/28/2003,968076
6/29/2003,965929
6/30/2003,962949
7/1/2003,918367
7/2/2003,918367
7/3/2003,918827
7/4/2003,929428
7/5/2003,929689
7/6/2003,937580
7/7/2003,930315
7/8/2003,915525
7/9/2003,929834
7/10/2003,910550
7/11/2003,910550
7/12/2003,940245
7/13/2003,947316
7/14/2003,958836
7/15/2003,942619
7/16/2003,935913
7/17/2003,933756
7/18/2003,933756
7/19/2003,955167
7/20/2003,955722
7/21/2003,958084
7/22/2003,960444
7/23/2003,963815
7/24/2003,967933
7/25/2003,969387
7/26/2003,961013
7/27/2003,961013
7/28/2003,950689
7/29/2003,956196
7/30/2003,959850
7/31/2003,956589
8/1/2003,956270
8/2/2003,955670
8/3/2003,955670
8/4/2003,943176
8/5/2003,948991
8/6/2003,929381
8/7/2003,935540
8/8/2003,941100
8/9/2003,922424
8/10/2003,929639
8/11/2003,916050
8/12/2003,916050
8/13/2003,921773
8/14/2003,920192
8/15/2003,915742
8/16/2003,933199
8/17/2003,942632
8/18/2003,942362
8/19/2003,942362
8/20/2003,938081
8/21/2003,947746
8/22/2003,961944
8/23/2003,961133
8/24/2003,960643
8/25/2003,947488
8/26/2003,941368
8/27/2003,945349
8/28/2003,945349
8/29/2003,953394
8/30/2003,955469
8/31/2003,950809
9/1/2003,952397
9/2/2003,957093
9/3/2003,963470
9/4/2003,963470
9/5/2003,969904
9/6/2003,969274
9/7/2003,968882
9/8/2003,972469
9/9/2003,974411
9/10/2003,976573
9/11/2003,976623
9/12/2003,972928
9/13/2003,972928
9/14/2003,975236
9/15/2003,932470
9/16/2003,912300
9/17/2003,931188
9/18/2003,905316
9/19/2003,960913
9/20/2003,960913
9/21/2003,920007
9/22/2003,930292
9/23/2003,932245
9/24/2003,935659
9/25/2003,953050
9/26/2003,960246
9/27/2003,957810
9/28/2003,970394
9/29/2003,970394
9/30/2003,975945
10/1/2003,968552
10/2/2003,963590
10/3/2003,968718
10/4/2003,963890
10/5/2003,975616
10/6/2003,975616
10/7/2003,975866
10/8/2003,976349
10/9/2003,977806
10/10/2003,978393
10/11/2003,977938
10/12/2003,979223
10/13/2003,980893
10/14/2003,981322
10/15/2003,981322
10/16/2003,976340
10/17/2003,977016
10/18/2003,976556
10/19/2003,979715
10/20/2003,981907
10/21/2003,986451
10/22/2003,986451
10/23/2003,984439
10/24/2003,982332
10/25/2003,978245
10/26/2003,977980
10/27/2003,977798
10/28/2003,980151
10/29/2003,979755
10/30/2003,982600
10/31/2003,982600
11/1/2003,-32000
11/2/2003,-32000
11/3/2003,-32000
11/4/2003,-32000
11/5/2003,-32000
11/6/2003,-32000
11/7/2003,-32000
11/8/2003,974829
11/9/2003,974604
11/10/2003,976140
11/11/2003,974595
11/12/2003,974249
11/13/2003,972444
11/14/2003,969434
11/15/2003,969960
11/16/2003,969960
11/17/2003,973305
11/18/2003,972874
11/19/2003,974382
11/20/2003,975100
11/21/2003,974914
11/22/2003,977376
11/23/2003,977376
11/24/2003,979511
11/25/2003,977973
11/26/2003,978427
11/27/2003,978308
11/28/2003,977207
11/29/2003,976565
11/30/2003,975064
12/1/2003,971076
12/2/2003,971076
12/3/2003,974454
12/4/2003,975167
12/5/2003,978105
12/6/2003,977652
12/7/2003,976893
12/8/2003,973480
12/9/2003,973480
12/10/2003,972475
12/11/2003,973817
12/12/2003,975509
12/13/2003,975616
12/14/2003,975945
12/15/2003,975237
12/16/2003,975480
12/17/2003,975135
12/18/2003,975135
12/19/2003,973237
12/20/2003,971776
12/21/2003,970398
12/22/2003,971701
12/23/2003,971345
12/24/2003,972680
12/25/2003,972680
12/26/2003,972775
12/27/2003,973303
12/28/2003,974948
12/29/2003,974007
12/30/2003,973656
12/31/2003,974445
1/1/2004,-32000
1/2/2004,981750
1/3/2004,981750
